"","genes","logFC","logCPM","F","PValue","FDR"
"32945","SNHG15",1.70187055288835,3.08373372098135,61.6402509278623,7.71387836249405e-08,2.57219817228235e-05
"25546","MIIP",0.98890568651252,3.47736313564493,61.2841400997545,8.09183092340035e-08,2.66075134877088e-05
"30438","PSRC1",1.80167640058448,1.94335050048008,60.9476004175267,8.46763918924573e-08,2.74618298363552e-05
"1842","C10orf55",2.86609513908526,3.72662979359014,60.7346064119815,8.71529919165316e-08,2.78830686976201e-05
"1436","B3GALT6",1.17022736293261,4.38743172490094,60.4698173727939,9.03426081709995e-08,2.8291344347226e-05
"22996","KRT80",5.339208035652,2.74638092468706,60.4242159816861,9.09046602845724e-08,2.8291344347226e-05
"34387","TEAD4",2.04971513249108,2.63228728824789,60.3350998969002,9.20140872116747e-08,2.8291344347226e-05
"3583","CLEC3B",-2.89583399292665,3.87965870934656,59.9223961640517,9.73481214526398e-08,2.95476509665545e-05
"3896","CP",-1.33844726292704,3.42711057568046,59.6836323181341,1.00587403185005e-07,2.9962786302603e-05
"28968","PAQR4",1.85053025188237,4.44559748950027,59.4671785649004,1.03625795734767e-07,2.9962786302603e-05
"31655","RUVBL1",1.32869271651705,4.4453099235633,59.3199931452596,1.05748980171102e-07,2.9962786302603e-05
"25315","MDFI",2.71064495946598,2.27030141335865,59.2931466637427,1.06141339795075e-07,2.9962786302603e-05
"1290","ATP11A",1.52212978977064,5.247058843968,59.1728238504658,1.07919463235209e-07,2.9962786302603e-05
"36357","WISP1",2.6091736347271,3.67376442367989,59.1057054686943,1.08925432597699e-07,2.9962786302603e-05
"4006","CRNDE",4.2749494421675,0.527545759793654,59.1035352468533,1.08958130102477e-07,2.9962786302603e-05
"29686","PLEKHN1",1.98517377855343,0.485780614992604,59.0121382609165,1.10344924221455e-07,2.9962786302603e-05
"3504","CITED2",-1.29668420404669,5.08637893552753,58.9093452822267,1.11927677895148e-07,2.9962786302603e-05
"33652","SPTBN2",2.17460316572006,4.06420173003303,58.9068088198476,1.1196704480058e-07,2.9962786302603e-05
"1123","ARNTL2",1.94493539122539,4.290061014496,58.8637723032814,1.12637295921084e-07,2.9962786302603e-05
"37157","ZNF695",2.78294458328306,1.50260831135171,58.7188319642327,1.14926985520921e-07,3.00910289902794e-05
"22866","KLHL35",1.88293833374613,0.193852389605074,58.6730088239215,1.15661399709205e-07,3.00910289902794e-05
"34490","TGFBI",2.22238605008095,7.5137591969958,58.1078030252616,1.25153555882453e-07,3.22066351686638e-05
"22961","KRT23",5.61080522351349,3.13759259723932,57.9255341152895,1.28393270431423e-07,3.26449803494148e-05
"20198","FOXQ1",4.69501361259231,3.61160819202858,57.8569619970793,1.29635683728452e-07,3.26449803494148e-05
"28268","NXT1",1.58432604732015,3.59469170482398,57.7699198963293,1.31231666620288e-07,3.26449803494148e-05
"35161","TPD52L2",1.19483447576385,6.20298930331959,57.7084074522856,1.32372465197205e-07,3.26449803494148e-05
"30323","PRSS22",3.94732446614018,2.74244523719866,57.5945337002503,1.34513001750804e-07,3.28306754295427e-05
"37363","ZZEF1",-1.0312329559419,7.08369783681047,57.5218555235526,1.35898888789659e-07,3.28306754295427e-05
"3776","COL1A2",2.41794705482874,9.52966743312929,56.9083366805052,1.48238444521192e-07,3.54499512529214e-05
"3395","CHI3L1",4.1454647749468,3.74150095565192,56.6599644534563,1.53577055574643e-07,3.56659250772367e-05
"36750","ZMYND19",1.34169010964507,3.39807456171528,56.6224851436859,1.54400704791061e-07,3.56659250772367e-05
"5135","DUSP4",2.77478664024715,4.33331656696207,56.4806983906804,1.57560498363249e-07,3.56659250772367e-05
"685","ANGPTL1",-2.42128565648326,3.94430061088447,56.4702802511545,1.57795438588583e-07,3.56659250772367e-05
"32623","SLC3A2",1.32697662919759,6.27674119024962,56.4489601349306,1.58277422174903e-07,3.56659250772367e-05
"37136","ZNF670-ZNF695",2.15796124090686,0.296985337193696,56.3639251929161,1.602158440813e-07,3.56659250772367e-05
"19236","EVA1A",3.1886982623067,1.89668094018269,56.3245746797709,1.61121613933293e-07,3.56659250772367e-05
"12260","ENSG00000250033.1",2.54323456855548,1.98029539855385,56.280354235818,1.6214615056634e-07,3.56659250772367e-05
"22163","IMPDH1",1.36142698887208,4.80218460832835,56.1404751656745,1.65434062137443e-07,3.56659250772367e-05
"28855","OXTR",2.35244150599752,0.973784724795584,56.1399116864115,1.65447453116533e-07,3.56659250772367e-05
"36094","VEGFA",1.56915764436857,6.71515439886259,56.1287542365539,1.65712851467625e-07,3.56659250772367e-05
"1545","BCHE",-4.24831378217482,2.4430698721061,55.8659735815346,1.72099747445597e-07,3.67068605475181e-05
"32244","SHISA2",3.2587490062475,1.92260182222911,55.6705276894358,1.77024133362968e-07,3.71272877921599e-05
"35165","TPH1",-3.17475616471851,2.0863629935696,55.6298539278647,1.78068136074794e-07,3.71272877921599e-05
"655","AMPD2",0.945508471685999,4.81526943535856,55.5722334790984,1.79558635647694e-07,3.71272877921599e-05
"3950","CPXM1",1.92857842584948,2.1424036758569,55.5420918740531,1.80343742179446e-07,3.71272877921599e-05
"25000","LZTS3",2.06713653936206,4.29823369962245,55.3117527422263,1.86468573305269e-07,3.77790482794017e-05
"5747","ENSG00000196756.7",2.08304332948839,4.38958524088774,55.2801993619026,1.87325116546717e-07,3.77790482794017e-05
"29989","PPM1H",1.54511297583639,4.5643984476662,55.244592949624,1.88296840421094e-07,3.77790482794017e-05
"30051","PPP2R3A",-1.47698751755582,4.38251766459984,54.9661799092773,1.96087275248211e-07,3.88037975085034e-05
"34562","THY1",2.06597781508167,5.51760175737396,54.8974660385833,1.98063640694659e-07,3.88037975085034e-05
"1602","BEST4",-4.4141775098474,3.90869731447643,54.8801487318996,1.98565146563701e-07,3.88037975085034e-05
"31908","SDCCAG3",1.11188026498463,4.48449438086551,54.8222150089145,2.00252990427705e-07,3.88037975085034e-05
"31176","RIPK2",1.70882220371634,3.37879818901661,54.7317017190384,2.02921419034033e-07,3.88037975085034e-05
"457","AGTRAP",1.3127232673818,3.69897183273758,54.7210335439973,2.03238474806945e-07,3.88037975085034e-05
"18840","ENSG00000272114.1",1.77411466940381,2.95611270394222,54.628911931639,2.05998898401648e-07,3.90161913572722e-05
"35029","TNFRSF11B",2.69590501775158,3.13898848738929,54.5165504295373,2.09421308290304e-07,3.93495989981979e-05
"5402","ELFN1",1.81392800554562,0.562010872388652,54.2833019094434,2.1672552456949e-07,3.98814044337065e-05
"3765","COL12A1",2.77358306644996,8.25027094769127,54.2701146200474,2.17146706872116e-07,3.98814044337065e-05
"19118","EPHX4",3.50935082331313,0.183698233523799,54.2583551007312,2.17523041519433e-07,3.98814044337065e-05
"2689","CBX2",3.61773879987889,3.18027928364141,54.2127346628749,2.18989760354038e-07,3.98814044337065e-05
"15588","ENSG00000260185.1",-1.60066353547843,0.74687276621348,54.080719233974,2.23295243842661e-07,4.03550755570611e-05
"29184","PDCD4",-1.37062444768136,6.95185032971902,53.9438338054741,2.27857269358808e-07,4.06675007481291e-05
"34347","TCN1",6.86889255671115,2.81597467536958,53.885735862048,2.29824167971916e-07,4.06675007481291e-05
"35725","UBE2C",2.8793632249113,4.76223839921261,53.8753656198948,2.30177195364279e-07,4.06675007481291e-05
"25444","MEX3A",3.15857075687583,3.0411361116416,53.6936702368443,2.36459492783197e-07,4.11755837016122e-05
"4741","DHX34",1.22790743055518,4.17112313835518,53.6916229693215,2.36531336152873e-07,4.11755837016122e-05
"1241","ATAD3A",1.42838356526113,4.49907639457827,53.5084055730079,2.43058313003899e-07,4.20029602946519e-05
"11490","ENSG00000245694.4",4.13584895051868,1.09099617042485,53.3383244650678,2.49293474535434e-07,4.22433340672709e-05
"2419","C9orf117",1.47303876789157,0.700302899314092,53.3304835039871,2.49585100657155e-07,4.22433340672709e-05
"31142","RHPN1",2.2166274338094,3.38168355113489,53.3246531913917,2.4980218667024e-07,4.22433340672709e-05
"23318","LIFR",-2.59282231722753,5.16801786177802,53.2570380241441,2.52334873375851e-07,4.23689938097395e-05
"21879","HYAL2",1.14682596556724,5.27260544781464,53.1549678890927,2.56211369693475e-07,4.27169308274157e-05
"13333","ENSG00000254192.1",-2.29987603265346,1.1211721161527,52.7883145455441,2.70681486289222e-07,4.46129951416652e-05
"32759","SLIT3",-2.2466666904624,4.47815089403201,52.7718332321886,2.71352536447721e-07,4.46129951416652e-05
"26947","MMP14",1.83710412597428,7.49771233059093,52.7138093297048,2.73729507422527e-07,4.46934212981263e-05
"35757","UBE2S",2.02604923667276,4.69002412218424,52.6204640917983,2.77601231124382e-07,4.47205089360856e-05
"23259","LEPRE1",1.30260563385948,4.04211803423165,52.6187406088587,2.7767327618182e-07,4.47205089360856e-05
"15736","ENSG00000260466.1",2.51806870688605,0.651931382355092,52.5573852103713,2.80251390855958e-07,4.48307545845596e-05
"2954","CCT6A",1.2720461205939,6.60068829578602,52.3072382533563,2.9103595665438e-07,4.62434649247815e-05
"29708","PLOD1",1.31031664280345,5.2424680807319,52.1314944011756,2.9888328893752e-07,4.71737457706386e-05
"22062","IL11",6.55097118969974,3.13782898702753,52.0165002201878,3.04142800846149e-07,4.76859656293549e-05
"24528","LOC553103",-1.52002454909647,2.05812948517255,51.9489207057618,3.0728074247628e-07,4.78609972245127e-05
"35358","TRIP13",2.82407838930732,3.38897081814064,51.8896943984257,3.10059869232907e-07,4.79782183273795e-05
"30259","PRPF4",1.10469979750746,4.38709547463245,51.7175094391963,3.1829637895161e-07,4.8932901114801e-05
"32699","SLC7A11-AS1",2.42800195703161,1.51125589220848,51.6290777777564,3.22619055651062e-07,4.92774589841219e-05
"1401","AUNIP",2.48459437926569,1.66725700156134,51.3621462113507,3.36060201640379e-07,5.02440880734867e-05
"5967","ENSG00000214039.4",6.23293410006275,2.75473544901718,51.3300864960786,3.37715207905941e-07,5.02440880734867e-05
"3927","CPNE7",3.96237829060529,2.59866842733239,51.3227349209543,3.38095967323429e-07,5.02440880734867e-05
"21571","HLA-G",3.8022807467801,2.6957421299946,51.2839850724999,3.40110689858367e-07,5.02440880734867e-05
"32254","SHMT2",1.41885178460033,5.37972952470655,51.2268010718586,3.43107825090645e-07,5.02440880734867e-05
"5030","DPT",-3.75491748898946,5.11462848380448,51.217353575053,3.43605756048022e-07,5.02440880734867e-05
"32543","SLC30A10",-3.98420777392127,2.80753688595216,51.2136102985794,3.43803263691863e-07,5.02440880734867e-05
"21452","HILPDA",2.14236220103165,3.31740164305943,50.9689319975068,3.56985903228626e-07,5.18505598707835e-05
"3519","CKS2",2.07806397799022,3.93229768021209,50.7542589864485,3.69006820367954e-07,5.31401992270672e-05
